usec,velocity,heading
2892192,0.250000,-0.150219
2902192,0.250000,-0.113850
2912192,0.250000,-0.075900
2922193,0.250000,-0.039531
2932196,0.250000,-0.001581
2942196,0.250000,0.036369
2952196,0.250000,0.074319
2962198,0.250000,0.112269
2972198,0.250000,0.150219
2982198,0.250000,0.188169
2992238,0.250000,0.227700
3002239,0.250000,0.265650
3012239,0.250000,0.303600
3022350,0.250000,0.341550
3032350,0.250000,0.379500
3042354,0.250000,0.417450
3052355,0.250000,0.455400
3062356,0.250000,0.493350
3072356,0.250000,0.532882
3082357,0.250000,0.572413
3092357,0.250000,0.610363
3102357,0.250000,0.648313
3112357,0.250000,0.687844
3122361,0.250000,0.725794
3132391,0.250000,0.765326
3142392,0.250000,0.803276
3152392,-0.250000,0.841226
3162392,-0.250000,0.880757
3172395,-0.250000,0.913963
3182414,-0.250000,0.929776
3192414,-0.250000,0.944007
3202414,-0.250000,0.955076
3212415,-0.250000,0.962982
3222416,-0.250000,0.969307
3232433,-0.250000,0.970888
3242435,-0.250000,0.970888
3252439,-0.250000,0.970888
3262445,-0.250000,0.970888
3272450,-0.250000,0.969307
3282451,-0.250000,0.964563
3292491,-0.250000,0.958238
3302493,-0.250000,0.950332
3312493,-0.250000,0.942426
3322498,-0.250000,0.929776
3332498,-0.250000,0.917126
3342499,-0.250000,0.899732
3352546,-0.250000,0.883920
3362550,-0.250000,0.863363
3372553,-0.250000,0.842807
3382564,-0.250000,0.820670
3392594,-0.250000,0.795370
3402595,-0.250000,0.771651
3412599,-0.250000,0.744769
3422600,-0.250000,0.716307
3432600,-0.250000,0.689426
3442641,-0.250000,0.659382
3452642,-0.250000,0.629338
3462643,-0.250000,0.597713
3472654,-0.250000,0.567669
3482654,-0.250000,0.536044
3492655,-0.250000,0.502838
3502698,-0.250000,0.469632
3512698,-0.250000,0.436425
3522698,-0.250000,0.401638
3532740,-0.250000,0.368432
3542740,-0.250000,0.333644
3552754,-0.250000,0.298856
3562758,-0.250000,0.262488
3572758,-0.250000,0.227700
3582759,-0.250000,0.192913
3592797,-0.250000,0.154963
3602797,-0.250000,0.120175
3612798,-0.250000,0.083806
3622839,-0.250000,0.045856
3632840,-0.250000,0.011069
3642840,-0.250000,-0.025300
3652845,-0.250000,-0.063250
3662845,-0.250000,-0.099619
3672846,-0.250000,-0.137569
3682894,-0.250000,-0.175519
3692895,-0.250000,-0.211888
3702895,-0.250000,-0.249838
3712899,-0.250000,-0.289369
3722900,-0.250000,-0.327319
3732900,-0.250000,-0.363688
3742944,-0.250000,-0.401638
3752944,-0.250000,-0.441169
3762945,-0.250000,-0.480701
3772960,-0.250000,-0.520232
3782966,-0.250000,-0.558182
3792967,-0.250000,-0.596132
3803006,-0.250000,-0.635663
3813015,-0.250000,-0.675194
3823015,-0.250000,-0.713144
3833050,-0.250000,-0.751095
3843054,-0.250000,-0.792207
3853055,0.250000,-0.831738
3863097,0.250000,-0.868107
3873098,0.250000,-0.899732
3883099,0.250000,-0.917126
3893142,0.250000,-0.928195
3903142,0.250000,-0.936101
3913142,0.250000,-0.942426
3923147,0.250000,-0.944007
3933155,0.250000,-0.944007
3943155,0.250000,-0.944007
3953197,0.250000,-0.944007
3963198,0.250000,-0.940845
3973198,0.250000,-0.937682
3983236,0.250000,-0.931357
3993238,0.250000,-0.921870
4003238,0.250000,-0.912382
4013256,0.250000,-0.901313
4023256,0.250000,-0.890245
4033256,0.250000,-0.876013
4043295,0.250000,-0.860201
4053295,0.250000,-0.841226
4063295,0.250000,-0.820670
4073311,0.250000,-0.798532
4083312,0.250000,-0.774813
4093313,0.250000,-0.751095
4103345,0.250000,-0.722632
4113345,0.250000,-0.697332
4123352,0.250000,-0.668869
4133397,0.250000,-0.638826
4143398,0.250000,-0.610363
4153406,0.250000,-0.581901
4163440,0.250000,-0.547113
4173451,0.250000,-0.515488
4183454,0.250000,-0.483863
4193459,0.250000,-0.452238
4203459,0.250000,-0.419032
4213460,0.250000,-0.384244
4223460,0.250000,-0.351038
4233460,0.250000,-0.316250
4243465,0.250000,-0.281463
4253494,0.250000,-0.246675
4263495,0.250000,-0.208725
4273495,0.250000,-0.175519
4283497,0.250000,-0.137569
4293498,0.250000,-0.101200
4303505,0.250000,-0.064831
4313547,0.250000,-0.028463
4323554,0.250000,0.009488
4333554,0.250000,0.045856
4343554,0.250000,0.083806
4353554,0.250000,0.121756
4363555,0.250000,0.159706
4373598,0.250000,0.197656
4383599,0.250000,0.235606
4393599,0.250000,0.273557
4403605,0.250000,0.314669
4413610,0.250000,0.351038
4423610,0.250000,0.387407
4433634,0.250000,0.425357
4443634,0.250000,0.464888
4453637,0.250000,0.504419
4463644,0.250000,0.543950
4473644,0.250000,0.583482
4483644,0.250000,0.621432
4493706,0.250000,0.659382
4503709,0.250000,0.697332
4513709,0.250000,0.736863
4523737,0.250000,0.774813
4533748,0.250000,0.814345
4543753,-0.250000,0.852295
4553759,-0.250000,0.891826
4563760,-0.250000,0.920288
4573761,-0.250000,0.939263
4583793,-0.250000,0.950332
4593793,-0.250000,0.961401
4603793,-0.250000,0.967726
4613812,-0.250000,0.972470
4623812,-0.250000,0.974051
4633812,-0.250000,0.974051
4643840,-0.250000,0.974051
4653840,-0.250000,0.974051
4663840,-0.250000,0.974051
4673843,-0.250000,0.970888
4683850,-0.250000,0.964563
4693855,-0.250000,0.958238
4703861,-0.250000,0.953495
4713861,-0.250000,0.944007
4723861,-0.250000,0.932938
4733862,-0.250000,0.920288
4743866,-0.250000,0.904476
4753906,-0.250000,0.885501
4763913,-0.250000,0.866526
4773914,-0.250000,0.847551
4783914,-0.250000,0.825413
4793939,-0.250000,0.800113
4803939,-0.250000,0.774813
4813939,-0.250000,0.749513
4823943,-0.250000,0.721051
4833943,-0.250000,0.692588
4843943,-0.250000,0.662544
4854017,-0.250000,0.634082
4864039,-0.250000,0.602457
4874040,-0.250000,0.572413
4884051,-0.250000,0.540788
4894051,-0.250000,0.507582
4904055,-0.250000,0.474375
4914097,-0.250000,0.441169
4924098,-0.250000,0.406382
4934099,-0.250000,0.373175
4944137,-0.250000,0.336807
4954141,-0.250000,0.303600
4964141,-0.250000,0.267231
4974153,-0.250000,0.230863
4984154,-0.250000,0.196075
4994154,-0.250000,0.159706
5004198,-0.250000,0.123338
5014198,-0.250000,0.086969
5024198,-0.250000,0.050600
5034259,-0.250000,0.012650
5044260,-0.250000,-0.023719
5054260,-0.250000,-0.058506
5064290,-0.250000,-0.096456
5074290,-0.250000,-0.135988
5084295,-0.250000,-0.172356
5094305,-0.250000,-0.210307
5104307,-0.250000,-0.246675
5114308,-0.250000,-0.286207
5124344,-0.250000,-0.322575
5134345,-0.250000,-0.362107
5144346,-0.250000,-0.400057
5154395,-0.250000,-0.436425
5164396,-0.250000,-0.475957
5174396,-0.250000,-0.515488
5184434,-0.250000,-0.553438
5194435,-0.250000,-0.592969
5204436,-0.250000,-0.632501
5214446,-0.250000,-0.670451
5224453,-0.250000,-0.708401
5234454,-0.250000,-0.749513
5244498,-0.250000,-0.789045
5254498,0.250000,-0.826995
5264498,0.250000,-0.863363
5274542,0.250000,-0.894988
5284543,0.250000,-0.912382
5294550,0.250000,-0.921870
5304559,0.250000,-0.929776
5314566,0.250000,-0.936101
5324593,0.250000,-0.939263
5334597,0.250000,-0.939263
5344598,0.250000,-0.939263
5354599,0.250000,-0.937682
5364644,0.250000,-0.934520
5374645,0.250000,-0.929776
5384646,0.250000,-0.925032
5394660,0.250000,-0.915545
5404660,0.250000,-0.909220
5414661,0.250000,-0.901313
5424694,0.250000,-0.888663
5434695,0.250000,-0.872851
5444695,0.250000,-0.855457
5454742,0.250000,-0.838063
5464750,0.250000,-0.814345
5474754,0.250000,-0.793788
5484766,0.250000,-0.771651
5494794,0.250000,-0.746351
5504795,0.250000,-0.721051
5514808,0.250000,-0.694169
5524809,0.250000,-0.665707
5534810,0.250000,-0.637244
5544845,0.250000,-0.608782
5554845,0.250000,-0.578738
5564846,0.250000,-0.548694
5574895,0.250000,-0.515488
5584896,0.250000,-0.482282
5594897,0.250000,-0.449075
5604912,0.250000,-0.417450
5614912,0.250000,-0.384244
5624912,0.250000,-0.349457
5634945,0.250000,-0.314669
5644950,0.250000,-0.279882
5654956,0.250000,-0.245094
5664996,0.250000,-0.210306
5675034,0.250000,-0.172356
5685039,0.250000,-0.134406
5695045,0.250000,-0.099619
5705045,0.250000,-0.064831
5715045,0.250000,-0.026881
5725051,0.250000,0.011069
5735056,0.250000,0.049019
5745056,0.250000,0.086969
5755095,0.250000,0.124919
5765095,0.250000,0.164450
5775095,0.250000,0.202400
5785138,0.250000,0.240350
5795148,0.250000,0.279882
5805154,0.250000,0.317832
5815154,0.250000,0.355782
5825155,0.250000,0.393732
5835155,0.250000,0.431682
5845198,0.250000,0.469632
5855199,0.250000,0.507582
5865200,0.250000,0.548694
5875244,0.250000,0.586644
5885250,0.250000,0.624594
5895255,0.250000,0.662544
5905260,0.250000,0.700494
5915260,0.250000,0.738444
5925261,0.250000,0.777976
5935310,0.250000,0.817507
5945310,-0.250000,0.857038
5955310,-0.250000,0.894988
5965345,-0.250000,0.923451
5975345,-0.250000,0.940845
5985345,-0.250000,0.951913
5995365,-0.250000,0.959820
6005393,-0.250000,0.966145
6015395,-0.250000,0.969307
6025398,-0.250000,0.970888
6035399,-0.250000,0.972470
6045400,-0.250000,0.972470
6055409,-0.250000,0.970888
6065409,-0.250000,0.967726
6075409,-0.250000,0.964563
6085444,-0.250000,0.956657
6095444,-0.250000,0.948751
6105445,-0.250000,0.940845
6115456,-0.250000,0.928195
6125456,-0.250000,0.915545
6135456,-0.250000,0.899732
6145498,-0.250000,0.882338
6155498,-0.250000,0.861782
6165498,-0.250000,0.841226
6175544,-0.250000,0.819088
6185545,-0.250000,0.793788
6195545,-0.250000,0.768488
6205548,-0.250000,0.743188
6215550,-0.250000,0.714726
6225555,-0.250000,0.686263
6235600,-0.250000,0.657801
6245600,-0.250000,0.627757
6255600,-0.250000,0.596132
6265637,-0.250000,0.564507
6275640,-0.250000,0.531300
6285641,-0.250000,0.499675
6295646,-0.250000,0.466469
6305646,-0.250000,0.433263
6315650,-0.250000,0.398475
6325698,-0.250000,0.363688
6335699,-0.250000,0.330482
6345700,-0.250000,0.292531
6355737,-0.250000,0.257744
6365740,-0.250000,0.222956
6375740,-0.250000,0.186588
6385745,-0.250000,0.150219
6395745,-0.250000,0.115431
6405749,-0.250000,0.077481
6415796,-0.250000,0.039531
6425797,-0.250000,0.004744
6435798,-0.250000,-0.031625
6445812,-0.250000,-0.069575
6455833,-0.250000,-0.107525
6465838,-0.250000,-0.143894
6475843,-0.250000,-0.181844
6485851,-0.250000,-0.219794
6495851,-0.250000,-0.256163
6505893,-0.250000,-0.294113
6515893,-0.250000,-0.332063
6525893,-0.250000,-0.371594
6535906,-0.250000,-0.409544
6545908,-0.250000,-0.447494
6555909,-0.250000,-0.487026
6565945,-0.250000,-0.524976
