usec,speed,distance
5232950,0.250000,81.833824
5242954,0.250000,83.054199
5252959,0.250000,84.321960
5262999,0.250000,85.593185
5272999,0.250000,86.813560
5283000,0.250000,88.135635
5293013,0.250000,89.356010
5303013,0.250000,90.576385
5313014,0.250000,91.844147
5323055,0.250000,93.162613
5333057,0.250000,94.433838
5343058,0.250000,95.600174
5353058,0.250000,96.871399
5363059,0.250000,98.091774
5373060,0.250000,99.359535
5383066,0.250000,100.630760
5393095,0.250000,101.898521
5403098,0.250000,103.169746
5413098,0.250000,104.390121
5423098,0.250000,105.610497
5433099,0.250000,106.830872
5443104,0.250000,108.152946
5453111,0.250000,109.420708
5463114,0.250000,110.644409
5473116,0.250000,111.868111
5483117,0.250000,113.139336
5493118,0.250000,114.359711
5503145,0.250000,115.681786
5513146,0.250000,116.902161
5523146,0.250000,118.176849
5533153,0.250000,119.448074
5543159,0.250000,120.668449
5553159,0.250000,121.888824
5563201,0.250000,123.163513
5573209,0.250000,124.536438
5583214,0.250000,125.756821
5593219,0.250000,126.977203
5603219,-0.250000,128.197586
5613219,-0.250000,129.519669
5623254,-0.250000,130.536652
5633259,-0.250000,131.045135
5643260,-0.250000,131.504028
5653260,-0.250000,131.809952
5663261,-0.250000,132.013901
5673261,-0.250000,132.065033
5683268,-0.250000,132.065033
5693268,-0.250000,132.065033
5703297,-0.250000,132.065033
5713298,-0.250000,132.065033
5723298,-0.250000,132.065033
5733299,-0.250000,131.962784
5743300,-0.250000,131.860535
5753300,-0.250000,131.656036
5763300,-0.250000,131.349274
5773300,-0.250000,131.042511
5783301,-0.250000,130.633499
5793302,-0.250000,130.122238
5803303,-0.250000,129.610977
5813310,-0.250000,129.047073
5823312,-0.250000,128.378845
5833313,-0.250000,127.811897
5843313,-0.250000,127.243431
5853319,-0.250000,126.777084
5863319,-0.250000,126.208618
5873320,-0.250000,125.538589
5883342,-0.250000,124.817024
5893343,-0.250000,123.943184
5903344,-0.250000,123.017937
5913344,-0.250000,122.038666
5923345,-0.250000,121.062019
5933345,-0.250000,120.033966
5943346,-0.250000,118.903107
5953346,-0.250000,117.772247
5963346,-0.250000,116.641388
5973347,-0.250000,115.455956
5983347,-0.250000,114.273697
5993348,-0.250000,113.094620
6003348,-0.250000,111.912361
6013359,-0.250000,110.678703
6023359,-0.250000,109.445045
6033360,-0.250000,108.211388
6043404,-0.250000,106.977730
6053410,-0.250000,105.744072
6063414,-0.250000,104.510414
6073438,-0.250000,103.276756
6083444,-0.250000,102.043098
6093444,-0.250000,100.754585
6103446,-0.250000,99.517609
6113446,-0.250000,98.232544
6123453,-0.250000,96.944031
